Time t / s,Current I_1 / A
3.12,0.89341065
3.13,0.12948705
3.14,-0.8919108
3.15,-0.12648735
3.16,0.889911
3.17,0.219978
3.18,-0.79542045
3.19,-0.3449655
3.2,0.6729327
3.21,0.47145285
3.22,-0.55244475
3.23,-0.52844715
3.24,0.49945005
3.25,0.59044095
3.26,-0.44345565
3.27,-0.6729327
3.28,0.369963
3.29,0.7869213
3.3,-0.2709729
3.31,-0.81041895
3.32,0.2539746
3.33,0.7849215
3.34,-0.279972
3.35,-0.7739226
3.36,0.29347065
3.37,0.83441655
3.38,-0.24547545
3.39,-0.90840915
3.4,0.18848115
3.41,1.0238976
3.42,-0.04149585
3.43,-0.9769023
3.44,0.0209979
3.45,0.9559044
3.46,-0.0009999
3.47,-0.93540645
3.48,-0.07749225
3.49,0.8689131
3.5,0.10848915
3.51,-0.8419158
3.52,-0.06549345
3.53,0.87241275
3.54,-0.0389961
3.55,-0.94840515
3.56,0.02449755
3.57,0.9339066
3.58,0.07649235
3.59,-0.85541445
3.6,-0.1759824
3.61,0.779922
3.62,0.17348265
3.63,-0.78042195
3.64,-0.1269873
3.65,0.8119188
3.66,0.13348665
3.67,-0.80541945
3.68,-0.20247975
3.69,0.7559244
3.7,0.149985
3.71,-0.7909209
3.72,0.00549945
3.73,0.8949105
3.74,-0.07649235
3.75,-0.9389061
3.76,0.03049695
3.77,0.9059094
3.78,0.03649635
3.79,-0.85941405
3.8,-0.0039996
3.81,0.87841215
3.82,-0.07749225
3.83,-0.9279072
3.84,0.0669933
3.85,0.91840815
3.86,-0.0549945
3.87,-0.90840915
3.88,0.07749225
3.89,0.919908
3.9,-0.15348465
3.91,-0.96240375
3.92,0.18548145
3.93,0.97840215
3.94,-0.08849115
3.95,-0.9189081
3.96,-0.04349565
3.97,0.8409159
3.98,0.1749825
3.99,-0.7649235
4,-0.27747225
4.01,0.70842915
4.02,0.34646535
4.03,-0.6709329
4.04,-0.42645735
4.05,0.6289371
4.06,0.5179482
4.07,-0.5819418
4.08,-0.53944605
4.09,0.57344265
4.1,0.53944605
4.11,-0.57644235
4.12,-0.5589441
4.13,0.569943
4.14,0.71342865
4.15,-0.49445055
4.16,-0.92940705
4.17,0.2139786
4.18,0.93640635
4.19,0.38546145
4.2,-0.6649335
4.21,-0.82641735
4.22,0.4119588
4.23,1.00339965
4.24,0.38146185
4.25,-0.65043495
4.26,-0.9369063
4.27,-0.24447555
4.28,0.7119288
4.29,0.91840815
4.3,0.1749825
4.31,-0.74142585
4.32,-0.9529047
4.33,-0.3689631
4.34,0.67443255
4.35,0.9969003
4.36,0.5719428
4.37,-0.36746325
4.38,-0.80841915
4.39,-0.76242375
4.4,-0.19748025
4.41,0.6569343
4.42,0.8869113
4.43,0.6629337
4.44,0.0819918
4.45,-0.67143285
4.46,-0.8319168
4.47,-0.68243175
4.48,-0.25147485
4.49,0.4319568
4.5,0.70842915
4.51,0.72242775
4.52,0.49945005
4.53,0.0819918
4.54,-0.4649535
4.55,-0.68943105
4.56,-0.6679332
4.57,-0.54644535
4.58,-0.2369763
4.59,0.169983
4.6,0.5589441
4.61,0.6219378
4.62,0.5589441
4.63,0.46345365
4.64,0.2179782
4.65,0.00649935
4.66,-0.2589741
4.67,-0.4759524
4.68,-0.5019498
4.69,-0.4159584
4.7,-0.40845915
4.71,-0.35546445
4.72,-0.18848115
4.73,-0.03149685
4.74,0.04549545
4.75,0.1989801
4.76,0.33146685
4.77,0.35246475
4.78,0.3119688
4.79,0.2389761
4.8,0.21947805
4.81,0.21047895
4.82,0.2259774
4.83,0.1719828
4.84,0.08249175
4.85,0.01549845
4.86,0
4.87,-0.0079992
4.88,-0.01449855
4.89,-0.0129987
4.9,-0.03449655
4.91,-0.049995
4.92,-0.04949505
4.93,-0.029997
4.94,-0.01749825
4.95,-0.0039996
4.96,0.0009999
4.97,0
4.98,0.0009999
4.99,-0.0019998
5,-0.0129987
5.01,-0.03949605
5.02,-0.07149285
5.03,-0.07849215
5.04,-0.10648935
5.05,-0.1469853
5.06,-0.18748125
5.07,-0.2239776
5.08,-0.3139686
5.09,-0.2529747
5.1,-0.07049295
5.11,0.02949705
5.12,0.28947105
5.13,0.49845015
5.14,0.4779522
5.15,0.41645835
5.16,0.42845715
5.17,0.32246775
5.18,0.11648835
5.19,-0.0019998
5.2,-0.15348465
5.21,-0.36446355
5.22,-0.4319568
5.23,-0.3979602
5.24,-0.359964
5.25,-0.4039596
5.26,-0.2879712
5.27,-0.06149385
5.28,0.16548345
5.29,0.5429457
5.3,0.64843515
5.31,0.5969403
5.32,0.5339466
5.33,0.2379762
5.34,-0.12248775
5.35,-0.6219378
5.36,-0.69243075
5.37,-0.7049295
5.38,-0.4179582
5.39,0.179982
5.4,0.87441255
5.41,0.92040795
5.42,0.57944205
5.43,-0.38946105
5.44,-0.93340665
5.45,-0.82741725
5.46,0.2189781
5.47,0.9429057
5.48,0.7969203
5.49,-0.50744925
5.5,-0.9829017
5.51,-0.5009499
5.52,0.8559144
5.53,0.9809019
5.54,-0.45645435
5.55,-0.9809019
5.56,-0.10648935
5.57,0.9149085
5.58,0.58744125
5.59,-0.86141385
5.6,-0.86041395
5.61,0.82341765
5.62,1.0228977
5.63,-0.6139386
5.64,-1.00139985
5.65,0.4669533
5.66,0.9869013
5.67,-0.35846415
5.68,-0.97640235
5.69,0.27647235
5.7,0.97040295
5.71,-0.1349865
5.72,-0.95840415
5.73,-0.2179782
5.74,0.93040695
5.75,0.65743425
5.76,-0.8969103
5.77,-0.9709029
5.78,0.49945005
5.79,0.9949005
5.8,0.2279772
5.81,-0.94140585
5.82,-0.75142485
5.83,0.8649135
5.84,1.0208979
5.85,-0.1809819
5.86,-0.97740225
5.87,-0.59944005
5.88,0.9319068
5.89,0.8989101
5.9,-0.79142085
5.91,-1.01639835
5.92,0.4719528
5.93,1.0008999
5.94,-0.209979
5.95,-0.9889011
5.96,-0.0429957
5.97,0.979902
5.98,0.3689631
5.99,-0.9689031
6,-0.5849415
6.01,0.96540345
6.02,0.75042495
6.03,-0.96440355
6.04,-0.84041595
6.05,0.96740325
6.06,0.9049095
6.07,-0.97140285
6.08,-0.9159084
6.09,0.97740225
6.1,0.95840415
6.11,-0.98240175
6.12,-0.9529047
6.13,0.98940105
6.14,0.9409059
6.15,-0.99540045
6.16,-0.8649135
6.17,1.0028997
6.18,0.85041495
6.19,-1.00839915
6.2,-0.8789121
6.21,1.0148985
6.22,0.97940205
6.23,-1.02039795
6.24,-0.97840215
6.25,1.0048995
6.26,0.97940205
6.27,-1.01339865
6.28,-0.9879012
6.29,1.01139885
6.3,1.0028997
6.31,-0.97640235
6.32,-0.9769023
6.33,1.00839915
6.34,0.9919008
6.35,-0.95040495
6.36,-0.98040195
6.37,0.9359064
6.38,0.9839016
6.39,-0.759924
6.4,-0.979902
6.41,0.67543245
6.42,0.9769023
6.43,-0.6049395
6.44,-0.969903
6.45,0.6559344
6.46,0.96340365
6.47,-0.7039296
6.48,-0.95540445
6.49,0.75142485
6.5,0.9449055
6.51,-0.8709129
6.52,-0.93140685
6.53,1.0208979
6.54,0.8709129
6.55,-1.0148985
6.56,-0.75742425
6.57,1.01639835
6.58,0.7809219
6.59,-1.0148985
6.6,-0.76342365
6.61,1.01239875
6.62,0.7239276
6.63,-1.0078992
6.64,-0.66343365
6.65,1.0078992
6.66,0.6619338
6.67,-1.0048995
6.68,-0.6329367
6.69,0.9989001
6.7,0.55544445
6.71,-0.9769023
6.72,-0.29847015
6.73,0.95540445
6.74,0.0619938
6.75,-0.9429057
6.76,0.04749525
6.77,0.94040595
6.78,-0.04849515
6.79,-0.92940705
6.8,0.1279872
6.81,0.90940905
6.82,-0.30246975
6.83,-0.88641135
6.84,0.4819518
6.85,0.869913
6.86,-0.5939406
6.87,-0.8429157
6.88,0.78942105
6.89,0.8139186
6.9,-0.9829017
6.91,-0.72142785
6.92,0.9949005
6.93,0.5609439
6.94,-0.98840115
6.95,-0.5149485
6.96,0.9909009
6.97,0.5349465
6.98,-0.98740125
6.99,-0.5129487
7,0.979902
7.01,0.45445455
7.02,-0.969903
7.03,-0.39346065
7.04,0.96840315
7.05,0.3819618
7.06,-0.95040495
7.07,-0.269973
7.08,0.90040995
7.09,-0.04449555
7.1,-0.84641535
7.11,0.36546345
7.12,0.84041595
7.13,-0.3819618
7.14,-0.85341465
7.15,0.28147185
7.16,0.8659134
7.17,-0.19048095
7.18,-0.85941405
7.19,0.20847915
7.2,0.8429157
7.21,-0.28747125
7.22,-0.8579142
7.23,0.18748125
7.24,0.86941305
7.25,-0.1139886
7.26,-0.8369163
7.27,0.26547345
7.28,0.79742025
7.29,-0.45045495
7.3,-0.80041995
7.31,0.41345865
7.32,0.84141585
7.33,-0.2019798
7.34,-0.909909
7.35,-0.13048695
7.36,0.9369063
7.37,0.2579742
7.38,-0.9429057
7.39,-0.28647135
7.4,0.96040395
7.41,0.3629637
7.42,-0.9859014
7.43,-0.47345265
7.44,1.0028997
7.45,0.53944605
7.46,-0.99240075
7.47,-0.4929507
7.48,0.98440155
7.49,0.4549545
7.5,-1.0038996
7.51,-0.54644535
7.52,0.96140385
7.53,0.6879312
7.54,-0.68943105
7.55,-0.729927
7.56,0.5109489
7.57,0.7449255
7.58,-0.44245575
7.59,-0.77642235
7.6,0.31446855
7.61,0.84441555
7.62,-0.0649935
7.63,-0.8859114
7.64,-0.08649135
7.65,0.88641135
7.66,0.0879912
7.67,-0.88241175
7.68,-0.07849215
7.69,0.9129087
7.7,0.17948205
7.71,-0.9709029
7.72,-0.3679632
7.73,1.01739825
7.74,0.5269473
7.75,-0.9739026
7.76,-0.5409459
7.77,0.9729027
7.78,0.5449455
7.79,-0.9419058
7.8,-0.55244475
7.81,0.9009099
7.82,0.5529447
7.83,-0.8829117
7.84,-0.49945005
7.85,1.0148985
7.86,0.47845215
7.87,-0.9939006
7.88,-0.4019598
7.89,0.99940005
7.9,0.4109589
7.91,-1.00839915
7.92,-0.4319568
7.93,0.9989001
7.94,0.3989601
7.95,-0.9759024
7.96,-0.3339666
7.97,0.9669033
7.98,0.3049695
7.99,-0.96240375
8,-0.289971
8.01,0.9379062
8.02,0.2239776
8.03,-0.8639136
8.04,-0.03749625
8.05,0.8169183
8.06,-0.0789921
8.07,-0.84141585
8.08,0.0169983
8.09,0.88141185
8.1,0.0769923
8.11,-0.8959104
8.12,-0.109989
8.13,0.91940805
8.14,0.16048395
8.15,-0.95040495
8.16,-0.2289771
8.17,1.0218978
8.18,0.55244475
8.19,-0.649935
8.2,-0.86941305
8.21,-0.06049395
8.22,0.98340165
8.23,0.78742125
8.24,-0.1209879
8.25,-0.9779022
8.26,-0.80341965
8.27,-0.0979902
8.28,0.6789321
8.29,0.84241575
8.3,0.64143585
8.31,0.06949305
8.32,-0.54744525
8.33,-0.75842415
8.34,-0.59344065
8.35,-0.36646335
8.36,-0.00749925
8.37,0.32346765
8.38,0.58144185
8.39,0.55944405
8.4,0.49445055
8.41,0.4159584
8.42,0.18348165
8.43,-0.00349965
8.44,-0.11848815
8.45,-0.2879712
8.46,-0.3449655
8.47,-0.29247075
8.48,-0.2079792
8.49,-0.18848115
8.5,-0.19998
8.51,-0.1809819
8.52,-0.11748825
8.53,-0.04149585
8.54,-0.00149985
8.55,0.00149985
8.56,0.00349965
8.57,0.0059994
8.58,0.0159984
8.59,0.03949605
8.6,0.0589941
8.61,0.0539946
8.62,0.0339966
8.63,0.0159984
8.64,0.0079992
8.65,0.0069993
8.66,0.00449955
8.67,0.00149985
8.68,-0.00049995
8.69,-0.00149985
8.7,0
8.71,0
8.72,-0.00049995
8.73,0.00049995
8.74,0.00049995
8.75,0.0009999
8.76,0.00149985
8.77,0.0009999
8.78,0.00049995
8.79,-0.00049995
8.8,-0.00049995
8.81,-0.00049995
8.82,-0.00049995
8.83,0
8.84,0
8.85,0.00049995
8.86,0.00049995
8.87,0.0009999
8.88,0.00049995
8.89,0.00049995
8.9,0
8.91,0.00049995
8.92,0.00049995
8.93,0
8.94,0
8.95,0
8.96,0
8.97,0
8.98,0
8.99,0
9,0
9.01,0
9.02,0
9.03,0
9.04,0
9.05,-0.00049995
9.06,-0.0009999
9.07,0
9.08,0.00049995
9.09,0
9.1,-0.00049995
9.11,-0.00049995
9.12,0.0009999
9.13,0.00049995
9.14,0
9.15,-0.00049995
9.16,-0.00049995
9.17,0
9.18,0
9.19,0.00049995
9.2,0
9.21,0
9.22,0
9.23,0
9.24,0
9.25,0
9.26,-0.00049995
9.27,0
9.28,0
9.29,0
9.3,0
9.31,0
9.32,0
9.33,0
9.34,0
9.35,0
9.36,0
9.37,0
9.38,0
9.39,-0.00049995
9.4,0
9.41,0
9.42,0
9.43,0
9.44,0.0009999
9.45,0.00049995
9.46,0.0009999
9.47,0
9.48,0
9.49,0.0009999
9.5,0
9.51,0
