Time t / s,Voltage U_1 / V
0,0
0.01,0.0349965
0.02,0.1849815
0.03,0
0.04,0.0049995
0.05,0.169983
0.06,0.0549945
0.07,0.0849915
0.08,0.1449855
0.09,0.0649935
0.1,0.169983
0.11,0.0649935
0.12,0.0449955
0.13,0.0349965
0.14,0.029997
0.15,-0.0049995
0.16,0
0.17,-0.0049995
0.18,-0.0049995
0.19,-0.009999
0.2,-0.0549945
0.21,-0.0149985
0.22,-0.0549945
0.23,-0.09999
0.24,-0.0149985
0.25,-0.0249975
0.26,-0.089991
0.27,-0.09999
0.28,-0.0149985
0.29,-0.009999
0.3,-0.019998
0.31,-0.159984
0.32,-0.0049995
0.33,-0.0049995
0.34,-0.0049995
0.35,0
0.36,0.0049995
0.37,0.0249975
0.38,0.159984
0.39,0.0249975
0.4,0.4149585
0.41,0.0649935
0.42,0.1649835
0.43,0.129987
0.44,0.3049695
0.45,0.1449855
0.46,0.0049995
0.47,0.0249975
0.48,0.0349965
0.49,0
0.5,-0.0049995
0.51,-0.0049995
0.52,-0.0049995
0.53,-0.009999
0.54,-0.0149985
0.55,-0.049995
0.56,-0.089991
0.57,-0.059994
0.58,-0.0349965
0.59,-0.029997
0.6,-0.1449855
0.61,-0.009999
0.62,-0.0149985
0.63,-0.0149985
0.64,-0.009999
0.65,-0.019998
0.66,-0.0149985
0.67,-0.0049995
0.68,-0.0049995
0.69,-0.0049995
0.7,0
0.71,0
0.72,0.0049995
0.73,0.0049995
0.74,0
0.75,0.0349965
0.76,0.2149785
0.77,0.0149985
0.78,0.1249875
0.79,0.119988
0.8,0.069993
0.81,0.139986
0.82,0.1349865
0.83,0.0449955
0.84,0.019998
0.85,-0.0049995
0.86,-0.0049995
0.87,-0.009999
0.88,-0.0149985
0.89,-0.0249975
0.9,-0.0849915
0.91,-0.3049695
0.92,-0.0149985
0.93,-0.0549945
0.94,-0.009999
0.95,-0.0149985
0.96,-0.009999
0.97,-0.0349965
0.98,-0.1349865
0.99,-0.0149985
1,-0.0049995
1.01,-0.0049995
1.02,0.009999
1.03,0.09999
1.04,0.189981
1.05,0.049995
